nom,prenom,dateNaissance,numeroLicence,sexe,club,pointsSimple,pointsDouble,pointsMixte
LEFEVRE,Aiko,1970-03-13,8015348,FEMME,BC Sète,449,400,400
JACOBS,Yann,2001-07-31,6569507,HOMME,Hauts-de-France Bad,1545,1421,1395
BUI,Hung,1967-06-08,1033182,HOMME,Bad Hérault,1211,1138,1158
DINH,Christophe,2013-12-01,1375717,HOMME,US Créteil Bad,,,
POULAIN,Léonie,2000-08-13,1463271,FEMME,Auvergne Bad,1470,1326,1463
LECONTE,Sakura,1974-06-15,9135323,FEMME,BC Montpellier,1246,1318,1072
HENRY,Simon,2012-07-24,5802115,HOMME,Bretagne Badminton,505,477,513
CARPENTIER,Saki,2007-08-26,1756272,FEMME,BC Besançon,503,585,511
AUBERT,Zoé,1998-01-26,9788770,FEMME,Anjou Badminton,858,925,882
BRUN,Pascal,2015-12-05,5326780,HOMME,Shuttle Toulouse,444,457,408
AUBRY,Rémi,2008-11-02,2032110,HOMME,Colmar Bad,798,757,609
BLANC,Luna,1995-01-13,5483468,FEMME,BC Aix-en-Provence,1100,,918
BRUN,Anaïs,1971-01-14,8792780,FEMME,Bad Saint-Étienne,482,478,400
GAUTHIER,Lan,2011-04-28,3450782,FEMME,Alsace Badminton,440,473,400
ROBERT,Margot,2009-08-07,2877320,FEMME,Bad Dijon,513,509,400
MORIN,Maëlle,2006-05-15,8377732,FEMME,BC Le Mans,614,675,579
MARCHAND,Ngoc,2015-10-01,5138664,FEMME,BC Limoges,416,404,450
RICHTER,Nam,1999-04-30,3219007,HOMME,BC Aix-en-Provence,1704,1620,1676
FRANCOIS,Ngoc,1999-04-27,5314614,FEMME,Centre-Val Bad,1189,1090,1167
SIMON,Yann,1991-03-14,5010540,HOMME,Nouvelle-Aquitaine Bad,1718,1611,1629
GAUTHIER,Bertrand,2007-03-09,3975658,HOMME,BC Tours Nord,,,
LEFEBVRE,Lisa,1977-12-09,3940160,FEMME,BC Bourg,1291,1154,1235
FRANCOIS,Bruno,1989-04-20,1403262,HOMME,BC Tours,,,
ROUSSEAU,Isabelle,2004-04-04,5187564,FEMME,Bad Dijon,1235,1120,1252
GAUTHIER,Céline,1986-11-24,8211156,FEMME,Bad Riom,1128,1194,1099
FERRY,Loubna,2003-12-09,4547011,FEMME,ASPTT Lyon,579,449,480
CHEVALIER,Alexis,1984-09-26,7118313,HOMME,Bad Indre,823,827,652
DUPUIS,Aiko,2011-03-13,3168168,FEMME,ESM Vendôme,503,502,400
LE,Elisa,1988-09-18,6028211,FEMME,Bad Cambrai,570,598,
BERTRAND,Héloïse,2010-04-17,2616656,FEMME,US Créteil Bad,637,619,704
ROYER,Olivier,1993-10-28,7241919,HOMME,Pays de Loire Bad,1775,1664,1767
ROUSSEAU,Arthur,2006-02-06,6635464,HOMME,BC Voiron,742,704,702
MAILLOT,Hung,2002-05-06,3364289,HOMME,Shuttle Club Lyon,1000,982,905
FOURNIER,Mickaël,1990-08-15,9218114,HOMME,BC Pau,715,693,614
ANDRE,Agathe,1980-04-18,4379879,FEMME,PUC Badminton,,,
MOREL,Loïc,2013-03-08,9609823,HOMME,BC Nantes Ouest,415,400,404
ROBERT,Huong,2009-12-19,2106581,FEMME,Chartreuse Badminton,511,400,
POULAIN,Florence,2013-12-06,7010219,FEMME,Alsace Badminton,486,400,400
GIRARD,Arthur,2015-03-04,6416335,HOMME,BC Lorient,439,400,431
ANDRE,Élodie,2007-06-08,2768028,FEMME,Colmar Bad,851,716,705
GAUTHIER,Hung,2001-07-28,6021818,HOMME,BC Caen,1638,1531,1504
NGUYEN,Philippe,2005-02-22,8097007,HOMME,BC Rouen,1318,1267,1371
DO,Clara,1989-08-20,9453010,FEMME,BC Le Mans,568,586,602
BOUCHARD,Olivier,1997-06-22,3625818,HOMME,Shuttle Reims,950,833,915
MANSOURI,Fatima,1979-05-28,5409566,FEMME,BC Orléans,,,
MERCIER,Loubna,2011-04-18,9685423,FEMME,BC Aix-en-Provence,400,466,438
LAURENT,Victor,2011-08-25,1382066,HOMME,Grand Est Badminton,477,530,400
LACOMBE,Fatima,1984-04-14,4702011,FEMME,PUC Badminton,1071,1012,916
WOLFF,Frédéric,2017-06-05,3731857,HOMME,BC Fréjus,402,400,400
LACOMBE,Thibaut,1996-09-15,3383418,HOMME,Nouvelle-Aquitaine Bad,721,676,763
AUBRY,Romain,2009-10-31,5193784,HOMME,BC Montpellier,472,455,400
HOANG,Luc,2003-06-27,7140662,HOMME,BC Sélestat,1739,1606,1807
PIRES,Guillaume,1995-09-11,3566569,HOMME,BC Sélestat,1716,1613,1659
MARCHAND,Romain,1999-07-03,7873490,HOMME,Rhône-Alpes Bad,1972,1916,1801
COTE,Anaïs,1960-12-22,7514462,FEMME,ASPTT Lyon,523,571,460
PETIT,Thomas,2005-02-17,6173362,HOMME,Bad Club Bordeaux,1639,1676,1695
ROUX,Pierre,1986-03-25,9328426,HOMME,ESM Vendôme,1551,1467,1415
MAILLOT,Hieu,2004-04-07,2548126,HOMME,BC Sélestat,1186,,1105
MARTIN,Zoé,1999-10-27,7961766,FEMME,BC Sète,674,625,738
POULAIN,Nam,2016-09-10,7426954,HOMME,Bad Var,413,425,400
MICHEL,Vinh,1994-05-01,5565260,HOMME,BC Paris 15,,,
TREMBLAY,Victoire,1959-12-03,9904849,FEMME,BC Cholet,1269,1179,1338
PELLETIER,Leila,1973-05-22,2124104,FEMME,US Créteil Bad,711,567,685
BENALI,Ethan,1958-01-08,9820642,HOMME,BC Grenoble,683,577,633
BUI,Mickaël,1989-03-13,1148761,HOMME,BC Charleville,1486,1340,1385
COSTA,Hung,1957-09-26,8864216,HOMME,Badminton Nantes,1131,1052,932
NGUYEN,Mai,1979-07-19,7464654,FEMME,BC Clermont,1168,1244,1150
GUERIN,Sienna,2003-12-14,6839862,FEMME,BC Lille,1674,1700,1688
HOANG,Rin,1986-08-19,9963000,FEMME,CS Lunel,,,
HOANG,Léo,1957-10-04,8423068,HOMME,Shuttle Angers,1273,1220,1291
THOMAS,Nam,2013-12-14,4848082,HOMME,Nouvelle-Aquitaine Bad,446,519,400
RENAUD,Hoa,2008-08-11,2422426,FEMME,Bad Finistère,763,818,786
SCHULZ,Nina,1999-06-02,6496976,FEMME,BC Besançon,1156,1193,1164
MANSOURI,Amandine,1975-12-21,5136994,FEMME,BC Caen Maritime,1119,1083,947
LACOMBE,Zoé,1994-02-12,9498705,FEMME,BC Bourg,929,,855
VASSEUR,Lisa,2002-05-30,7289739,FEMME,BC Pau,706,618,558
DO,Marine,1988-04-03,6701061,FEMME,BC Grenoble,1560,1652,1370
